id,amt,pushed,bank_entry_id,cheque_entry_id,bill_id
201,46642,t,100184,,CA00685
202,3000,t,100185,,CA00686
203,2961,t,100186,,CA00703
211,1585,t,100157,,CA00675
179,24133,t,,12,CA00363
214,1031,t,100199,,CA00522
216,2996,t,100203,,CA00525
215,2506,t,100200,,CA00622
218,2853,f,,17,CA00529
219,3703,f,,17,CA00609
229,1000,t,100195,,CA00458
220,10581,t,,18,CA00518
228,3195,t,100189,,CA00523
225,2853,t,100187,,CA00529
222,2796,t,100096,,CA00543
223,6932,t,100097,,CA00567
227,4000,t,100188,,CA00598
226,3703,t,100187,,CA00609
230,399,t,100196,,CA00610
221,339,t,100095,,CA00628
217,1119,t,,16,CA00629
231,2263,t,100196,,CA00677
224,658,t,100183,,CA00774
246,5688,t,100219,,CA00273
232,4939,t,,19,CA00535
245,4146,t,100218,,CA00598
242,2723,t,100204,,CA00599
234,1724,t,,21,CA00608
243,220,t,100210,,CA00701
244,45913,t,100212,,CA00725
236,86608,t,,23,CA00584
248,1077,t,100237,,CA00679
233,5905,t,,20,CA00613
235,2060,t,,22,CA00655
247,4832,t,100236,,CA00806
251,8146,t,100257,,CA00596
250,1122,t,100256,,CA00667
237,2008,t,,24,CA00684
249,550,t,100246,,CA00794
252,107799,t,100282,,CA00660
253,1964,t,100284,,CA00792
255,6327,t,100207,,CA00443
254,1960,t,100207,,CA00444
256,7777,t,100207,,CA00524
257,500,t,100280,,CA00750
258,7922,t,100285,,CA00597
259,7104,t,100285,,CA00639
240,2380,t,,27,CA00736
241,881,t,,27,CA00796
238,3603,t,,25,CA00583
260,442,t,,28,CA00656
261,11855,t,,28,CA00777
262,41070,t,,29,CA00581
263,91846,t,100332,,CA00415
264,59605,t,100332,,CA00576
265,59997,t,100332,,CA00577
266,63720,t,100332,,CA00578
267,14185,t,100332,,CA00579
268,9248,t,100332,,CA00580
269,29643,t,100332,,CA00641
270,53593,t,100332,,CA00642
271,119641,t,100332,,CA00692
272,54382,t,100332,,CA00693
273,84630,t,100332,,CA00694
274,25185,t,100332,,CA00695
275,9082,t,100332,,CA00698
276,112838,t,100332,,CA00728
277,59404,t,100332,,CA00729
278,11572,t,100332,,CA00730
279,30209,t,100332,,CA00731
239,1263,t,,26,CA00678
280,3155,t,100255,,CA00737
284,9089,t,100317,,CA00766
281,110400,t,100307,,CA00778
282,115421,t,100307,,CA00779
283,110607,t,100307,,CA00781
285,948,t,100322,,CA00545
286,23227,t,100323,,CA00811
291,99624,t,100336,,CA00616
292,2000,t,100336,,CA00617
290,14539,t,100336,,CA00635
293,2998,t,100336,,CA00647
288,200,t,100330,,CA00701
294,1061,t,100337,,CA00799
287,4802,t,100327,,CA00817
289,889,t,100331,,CA00836
295,2300,t,100324,,CA00434
332,15241,t,100363,,CA00744
333,3740,t,100369,,CA00789
328,7830,t,,31,CA00798
329,11008,t,,32,CA00803
296,3237,t,,30,CA00813
