cbu,load_id,id,qty
RCCO1R0,5,1324,6
RCCU1R0,5,1325,12
RCCS1R0,5,1326,11
RCCR1R0,5,1327,10
EEDA1R4,5,1328,96
LERQ1R0,5,1329,1
LEOW1R0,5,1330,1
LERE1R3,5,1331,1
LERM1R3,5,1332,1
LERC1R3,5,1333,1
LEQX1R3,5,1334,1
LEOX1R0,5,1335,1
FPEL1R1,5,1336,1
EBPA1R0,5,1337,6
JPXI100,5,1338,2
JPXP100,5,1339,1
JPXL100,5,1340,2
JPXK100,5,1341,3
UMUL1R3,5,1342,1
UMUI1R2,5,1343,1
BWIB100,5,1344,1
EMVW100,5,1345,1
EMNX100,5,1346,1
EMSV100,5,1347,1
EMUP100,5,1348,1
EMRO100,5,1349,1
EMSZ100,5,1350,3
EMRU100,5,1351,3
EMRV100,5,1352,1
EMPY100,5,1353,1
EMTX100,5,1354,2
EMVR100,5,1355,1
EMVP100,5,1356,2
EMPW100,5,1357,1
EMUX100,5,1358,3
EMVN100,5,1359,2
EMSP100,5,1360,2
EMVX100,5,1361,1
LIPQ1R0,5,1362,1
EZSB100,5,1363,1
EZSA100,5,1364,1
LPRI1R5,5,1365,4
LMMC1R7,5,1366,1
LMMH1R5,5,1367,1
LMMD1R6,5,1368,1
