bill_id,reason,print_time,print_type,irn,vehicle_id,delivered,loading_time,delivered_time,plain_loading_sheet,cash_bill,is_reloaded,delivery_reason,loading_sheet_id
AB77572,,2026-01-28 07:04:23.723895+00,first_copy,,,,,,f,f,t,,
AB77573,,2026-01-28 07:04:23.723895+00,first_copy,,,,,,f,f,t,,
AB77574,,2026-01-28 07:04:23.723895+00,first_copy,,,,,,f,f,t,,
AB77575,,2026-01-28 07:04:23.723895+00,first_copy,,,,,,f,f,t,,
AB77576,,2026-01-28 07:04:23.723895+00,first_copy,,,,,,f,f,t,,
AB77577,,2026-01-28 07:04:23.723895+00,first_copy,,,,,,f,f,t,,
AB77578,,2026-01-28 07:04:23.723895+00,first_copy,,,,,,f,f,t,,
AB77579,,2026-01-28 07:04:23.723895+00,first_copy,,,,,,f,f,t,,
AB77584,,2026-01-28 07:16:46.431776+00,first_copy,,,,,,f,f,t,,
AB77585,,2026-01-28 07:16:46.431776+00,first_copy,,,,,,f,f,t,,
AB77589,,2026-01-28 10:44:29.047664+00,first_copy,,,,,,f,f,t,,
AB77600,,2026-01-28 09:54:26.547818+00,first_copy,,,,,,f,f,t,,
AB77601,,2026-01-28 09:54:26.547818+00,first_copy,,,,,,f,f,t,,
AB77602,,2026-01-28 09:54:26.547818+00,first_copy,,,,,,f,f,t,,
AB77603,,2026-01-28 09:54:26.547818+00,first_copy,,,,,,f,f,t,,
AB77604,,2026-01-28 09:54:26.547818+00,first_copy,,,,,,f,f,t,,
AB77590,,2026-01-28 10:44:29.047664+00,first_copy,,,,,,f,f,t,,
AB77591,,2026-01-28 10:44:29.047664+00,first_copy,,,,,,f,f,t,,
AB77592,,2026-01-28 10:44:29.047664+00,first_copy,,,,,,f,f,t,,
AB77610,,2026-01-28 09:55:59.560474+00,first_copy,,,,,,f,f,t,,
AB77611,,2026-01-28 09:55:59.560474+00,first_copy,,,,,,f,f,t,,
AB77612,,2026-01-28 09:55:59.560474+00,first_copy,,,,,,f,f,t,,
AB77613,,2026-01-28 09:55:59.560474+00,first_copy,,,,,,f,f,t,,
AB77614,,2026-01-28 09:55:59.560474+00,first_copy,,,,,,f,f,t,,
AB77615,,2026-01-28 09:55:59.560474+00,first_copy,,,,,,f,f,t,,
AB77616,,2026-01-28 09:55:59.560474+00,first_copy,,,,,,f,f,t,,
AB77617,,2026-01-28 09:55:59.560474+00,first_copy,,,,,,f,f,t,,
AB77618,,2026-01-28 09:55:59.560474+00,first_copy,,,,,,f,f,t,,
