id,inum_id,cbu,sku,qty,mrp
1,9533038114,LCRH1R3,LCRH0,2,0
2,9533038114,LCRI1R3,LCRI0,2,0
3,9533038114,LCSE1R1,LCRI5,2,0
4,9533038114,LFWP1R1,LFWR2,1,0
5,9533038114,LFWQ1R1,LFWR3,1,0
6,9533038114,LKCB1R2,LKCB0,1,0
7,9533038114,LMMQ1R0,LMMO2,1,0
8,9533038114,LPRA1R6,LPRJ0,1,0
9,9533038114,LPRB1R0,LPRF0,4,0
10,9533038114,LPRD1R0,LPRI9,2,0
11,9533038114,LSES1R2,LSEZ3,3,0
12,9533038114,LSEV1R3,LSEV3,2,0
13,9533038114,LSPB1R5,LSPC0,1,0
14,9533038114,LSPB1R5,LSPC0,1,0
15,9533038114,PDAN1R8,PDAZ4,1,0
16,9533038114,PDES1R2,PDES3,1,0
17,9533038114,PDET1R2,PDET3,1,0
18,9533038114,PDEU1R2,PDEU3,1,0
19,9533038114,PDEV100,PDEV1,1,0
20,9533038114,PDLW100,PDLW1,1,0
21,9533038114,PDLZ100,PDLZ1,1,0
22,9533038114,PDMB100,PDMB1,1,0
23,9533038114,PDMC100,PDMC1,1,0
24,9533038114,PSOH100,PSOH1,1,0
25,9533038114,PSOH1R2,PSOH3,1,0
26,9533038114,PSOI100,PSOI1,1,0
27,9533038114,PTBB1R4,PTBB4,1,0
28,9533038114,PTBC1R4,PTBC3,1,0
29,9533038114,BPBX100,BPBX1,1,0
30,9533038114,BPBY100,BPBY1,1,0
31,9533038114,BWIA100,BWIA1,1,0
32,9533038114,DWXB1R0,DWXB2,3,0
33,9533038114,DWXH1R1,DWXH2,2,0
34,9533038114,EBPA1R0,EBPA4,2,0
35,9533038114,EBPC1R0,EBPC2,1,0
36,9533038114,EBPD1R0,EBPD2,1,0
37,9533038114,ECOE100,ECOE1,2,0
38,9533038114,ECOF100,ECOF1,2,0
39,9533038114,ECOG100,ECOG1,2,0
40,9533038114,ECOH100,ECOH1,2,0
41,9533038114,EEPJ100,EEPJ1,6,0
42,9533038114,EFOE100,EFOE1,2,0
43,9533038114,EFOF100,EFOF1,2,0
44,9533038114,ELFF1R2,ELEB5,20,0
45,9533038114,ELFG1R0,LPMA7,1,0
46,9533038114,ELFH1R0,LPMA8,1,0
47,9533038114,ELFI1R0,LPMA9,1,0
48,9533038114,ELLA1R1,ELLA4,12,0
49,9533038114,ELVW100,ELVW1,3,0
50,9533038114,ELWN100,ELWN1,3,0
51,9533038114,ELWO100,ELWO1,3,0
52,9533038114,ELWQ100,ELWQ1,3,0
53,9533038114,ELWR100,ELWR1,3,0
54,9533038114,ELWU100,ELWU1,3,0
55,9533038114,EMBV100,EMBV0,2,0
56,9533038114,EMBW100,EMBW0,2,0
57,9533038114,EMBY100,EMBY0,1,0
58,9533038114,EMBY100,EMBY0,1,0
59,9533038114,EMDP100,EMDP2,2,0
60,9533038114,EMDQ100,EMDQ0,2,0
61,9533038114,EMDR100,EMDR2,2,0
62,9533038114,EMDT100,EMDT0,2,0
63,9533038114,EMDU100,EMDU2,2,0
64,9533038114,EMDW100,EMDW2,2,0
65,9533038114,EMEC100,EMEC2,2,0
66,9533038114,EMED100,EMED2,2,0
67,9533038114,EMEF100,EMEF2,2,0
68,9533038114,EMEG100,EMEG2,2,0
69,9533038114,EMEH100,EMEH2,2,0
70,9533038114,EMEI100,EMEI2,2,0
71,9533038114,EMEK100,EMEK2,2,0
72,9533038114,EMHI100,EMHI1,1,0
73,9533038114,EMHJ100,EMHJ1,1,0
74,9533038114,EMNX100,EMNX1,2,0
75,9533038114,EMNZ100,EMNZ1,2,0
76,9533038114,EMOZ100,EMOZ1,2,0
77,9533038114,EMPR100,EMPR1,2,0
78,9533038114,EMPS100,EMPS1,2,0
79,9533038114,EMPT100,EMPT1,2,0
80,9533038114,EMPU100,EMPU1,2,0
81,9533038114,EMPV100,EMPV1,2,0
82,9533038114,EMPW100,EMPW1,2,0
83,9533038114,EMPY100,EMPY1,2,0
84,9533038114,EMPZ100,EMPZ1,2,0
85,9533038114,EMQN100,EMQN1,2,0
86,9533038114,EMQO100,EMQO1,2,0
87,9533038114,EMQP100,EMQP1,2,0
88,9533038114,EMQQ100,EMQQ1,2,0
89,9533038114,EMQU100,EMQU1,2,0
90,9533038114,EMQV100,EMQV1,2,0
91,9533038114,EMQW100,EMQW1,2,0
92,9533038114,EMQX100,EMQX1,2,0
93,9533038114,EMQY100,EMQY1,2,0
94,9533038114,EMRN100,EMRN1,2,0
95,9533038114,EMRO100,EMRO1,2,0
96,9533038114,EMRP100,EMRP1,2,0
97,9533038114,EMRQ100,EMRQ1,2,0
98,9533038114,EMRR100,EMRR1,2,0
99,9533038114,EMRS100,EMRS1,2,0
100,9533038114,EMRU100,EMRU1,2,0
101,9533038114,EMRV100,EMRV1,2,0
102,9533038114,EMRX100,EMRX1,2,0
103,9533038114,EMRY100,EMRY1,2,0
104,9533038114,EMRZ100,EMRZ1,2,0
105,9533038114,EMSO100,EMSO1,2,0
106,9533038114,EMSP100,EMSP1,1,0
107,9533038114,EMSP100,EMSP1,1,0
108,9533038114,EMSQ100,EMSQ1,2,0
109,9533038114,EMSR100,EMSR1,1,0
110,9533038114,EMSS100,EMSS1,2,0
111,9533038114,EMSU100,EMSU1,2,0
112,9533038114,EMSV100,EMSV1,2,0
113,9533038114,EMSW100,EMSW1,2,0
114,9533038114,EMSX100,EMSX1,2,0
115,9533038114,EMSY100,EMSY1,2,0
116,9533038114,EMSZ100,EMSZ1,2,0
117,9533038114,EMTX100,EMTX1,2,0
118,9533038114,EMTY100,EMTY1,2,0
119,9533038114,EMUL100,EMUL1,12,0
120,9533038114,EMUP100,EMUP1,2,0
121,9533038114,EMUQ100,EMUQ1,1,0
122,9533038114,EMUQ100,EMUQ1,1,0
123,9533038114,EMUR100,EMUR1,2,0
124,9533038114,EMUS100,EMUS1,2,0
125,9533038114,EMUT100,EMUT1,2,0
126,9533038114,EMUU100,EMUU1,2,0
127,9533038114,EMUW100,EMUW1,2,0
128,9533038114,EMUX100,EMUX1,2,0
129,9533038114,EMUZ100,EMUZ1,2,0
130,9533038114,EMVN100,EMVN1,2,0
131,9533038114,EMVO100,EMVO1,2,0
132,9533038114,EMVP100,EMVP1,2,0
133,9533038114,EMVR100,EMVR1,2,0
134,9533038114,EMVS100,EMVS1,2,0
135,9533038114,EMVT100,EMVT1,2,0
136,9533038114,EMVU100,EMVU1,2,0
137,9533038114,EMVV100,EMVV1,2,0
138,9533038114,EMVW100,EMVW1,2,0
139,9533038114,EMVX100,EMVX1,2,0
140,9533038114,EMVY100,EMVY1,2,0
141,9533038114,EMWA100,EMWA1,2,0
142,9533038114,ESDD1R1,ESDB0,2,0
143,9533038114,ESSA100,ESSA1,3,0
144,9533038114,EVMA1R2,EVMA3,6,0
145,9533038114,EZSA100,EZSA1,1,0
146,9533038114,EZSB100,EZSB1,1,0
147,9533038114,FDNA1R0,FDNA0,4,0
